sku_id,category,name,mrp,discount,available_quantity,selling_price,weight,out_of_stock,quantity,revenue,inventory_value,price_per_gram,estimated_profit,weight_category,city,state,region,latitude,longitude,warehouse,reorder_level,stock_status,revenue_band
1,Fruits & Vegetables,Onion,25.0,16,3,21.0,1000,False,1,63.0,75.0,0.021,11.34,Large,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
2,Fruits & Vegetables,Tomato Hybrid,42.0,16,3,35.0,1000,False,1,105.0,126.0,0.035,18.9,Large,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Low Stock,Low Revenue
3,Fruits & Vegetables,Tender Coconut,51.0,15,3,43.0,58,False,1,129.0,153.0,0.7413793103448276,23.22,Small,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Low Stock,Low Revenue
4,Fruits & Vegetables,Coriander Leaves,20.0,15,3,17.0,100,False,100,51.0,60.0,0.17,9.18,Small,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Low Stock,Low Revenue
5,Fruits & Vegetables,Ladies Finger ,14.0,14,3,12.0,250,False,250,36.0,42.0,0.048,6.48,Small,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Low Stock,Low Revenue
6,Fruits & Vegetables,Potato,35.0,17,3,29.0,1000,False,1,87.0,105.0,0.029,15.66,Large,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Low Stock,Low Revenue
7,Fruits & Vegetables,Lemon,75.0,16,3,63.0,200,False,200,189.0,225.0,0.315,34.019999999999996,Small,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Low Stock,Low Revenue
8,Fruits & Vegetables,Watermelon ,58.0,15,3,49.0,58,False,1,147.0,174.0,0.8448275862068966,26.46,Small,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Low Stock,Low Revenue
9,Fruits & Vegetables,Capsicum Green ,23.0,17,3,19.0,250,False,250,57.0,69.0,0.076,10.26,Small,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
10,Fruits & Vegetables,Chilli Green ,19.0,15,3,16.0,100,False,100,48.0,57.0,0.16,8.64,Small,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Low Stock,Low Revenue
11,Fruits & Vegetables,Banana Robusta,29.0,17,3,24.0,348,False,6,72.0,87.0,0.06896551724137931,12.96,Small,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Low Stock,Low Revenue
12,Fruits & Vegetables,Garlic Indian ,11.0,18,3,9.0,100,False,100,27.0,33.0,0.09,4.859999999999999,Small,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Low Stock,Low Revenue
13,Fruits & Vegetables,Cauliflower,26.0,15,3,22.0,58,False,1,66.0,78.0,0.3793103448275862,11.879999999999999,Small,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Low Stock,Low Revenue
14,Fruits & Vegetables,Ginger,14.0,14,3,12.0,200,False,200,36.0,42.0,0.06,6.48,Small,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Low Stock,Low Revenue
15,Fruits & Vegetables,Spinach,19.0,15,3,16.0,250,False,250,48.0,57.0,0.064,8.64,Small,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Low Stock,Low Revenue
16,Fruits & Vegetables,Muskmelon,42.0,16,3,35.0,58,False,1,105.0,126.0,0.603448275862069,18.9,Small,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Low Stock,Low Revenue
17,Fruits & Vegetables,Cabbage ,15.0,13,3,13.0,58,False,1,39.0,45.0,0.22413793103448276,7.02,Small,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
18,Fruits & Vegetables,Methi,30.0,16,3,25.0,250,False,250,75.0,90.0,0.1,13.5,Small,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Low Stock,Low Revenue
19,Fruits & Vegetables,Broccoli,36.0,16,3,30.0,500,False,500,90.0,108.0,0.06,16.2,Medium,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Low Stock,Low Revenue
20,Fruits & Vegetables,Sapota,30.0,16,3,25.0,348,False,6,75.0,90.0,0.07183908045977011,13.5,Small,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Low Stock,Low Revenue
21,Fruits & Vegetables,Onion,68.0,16,3,57.0,3000,False,3,171.0,204.0,0.019,30.78,Large,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Low Stock,Low Revenue
22,Fruits & Vegetables,Potato,100.0,16,3,84.0,3000,False,3,252.0,300.0,0.028,45.36,Large,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Low Stock,Low Revenue
23,Fruits & Vegetables,Orange Nagpur,82.0,15,3,69.0,232,False,4,207.0,246.0,0.2974137931034483,37.26,Small,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Low Stock,Low Revenue
24,Fruits & Vegetables,Mint Leaves ,11.0,18,3,9.0,100,False,100,27.0,33.0,0.09,4.859999999999999,Small,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Low Stock,Low Revenue
25,Fruits & Vegetables,Beans French,33.0,15,3,28.0,250,False,250,84.0,99.0,0.112,15.120000000000001,Small,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
26,Fruits & Vegetables,Bottle Gourd ,26.0,15,3,22.0,58,False,1,66.0,78.0,0.3793103448275862,11.879999999999999,Small,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Low Stock,Low Revenue
27,Fruits & Vegetables,Banana Elaichi ,58.0,15,3,49.0,348,False,6,147.0,174.0,0.14080459770114942,26.46,Small,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Low Stock,Low Revenue
28,Fruits & Vegetables,Coconut Big,36.0,16,3,30.0,58,False,1,90.0,108.0,0.5172413793103449,16.2,Small,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Low Stock,Low Revenue
29,Fruits & Vegetables,Curry Leaves,13.0,15,3,11.0,50,False,50,33.0,39.0,0.22,5.9399999999999995,Small,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Low Stock,Low Revenue
30,Fruits & Vegetables,Brinjal Bharta,19.0,15,3,16.0,58,False,1,48.0,57.0,0.27586206896551724,8.64,Small,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Low Stock,Low Revenue
31,Fruits & Vegetables,Lettuce Iceberg,25.0,16,3,21.0,250,False,250,63.0,75.0,0.084,11.34,Small,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Low Stock,Low Revenue
32,Fruits & Vegetables,Papaya,54.0,16,3,45.0,58,False,1,135.0,162.0,0.7758620689655172,24.299999999999997,Small,Ahmedabad,Gujarat,West,23.0225,72.5714,WH-AMD-01,5,Low Stock,Low Revenue
33,Fruits & Vegetables,Apple Shimla,142.0,16,3,119.0,232,False,4,357.0,426.0,0.5129310344827587,64.25999999999999,Small,Mumbai,Maharashtra,West,19.076,72.8777,WH-MUM-01,5,Low Stock,Low Revenue
34,Fruits & Vegetables,Bitter Gourd,18.0,16,3,15.0,250,False,250,45.0,54.0,0.06,8.1,Small,Delhi,Delhi,North,28.7041,77.1025,WH-DEL-01,5,Low Stock,Low Revenue
35,Fruits & Vegetables,Brinjal Small,18.0,16,3,15.0,250,False,250,45.0,54.0,0.06,8.1,Small,Bengaluru,Karnataka,South,12.9716,77.5946,WH-BLR-01,5,Low Stock,Low Revenue
36,Fruits & Vegetables,Sweet Corn,36.0,16,3,30.0,116,False,2,90.0,108.0,0.25862068965517243,16.2,Small,Hyderabad,Telangana,South,17.385,78.4867,WH-HYD-01,5,Low Stock,Low Revenue
37,Fruits & Vegetables,Spring Onion ,18.0,16,3,15.0,250,False,250,45.0,54.0,0.06,8.1,Small,Chennai,Tamil Nadu,South,13.0827,80.2707,WH-CHE-01,5,Low Stock,Low Revenue
38,Fruits & Vegetables,Bell Peppers Red & Yellow ,118.0,16,3,99.0,116,False,2,297.0,354.0,0.853448275862069,53.46,Small,Pune,Maharashtra,West,18.5204,73.8567,WH-PUN-01,5,Low Stock,Low Revenue
39,Fruits & Vegetables,Pomegranate ,106.0,16,3,89.0,116,False,2,267.0,318.0,0.7672413793103449,48.06,Small,Kolkata,West Bengal,East,22.5726,88.3639,WH-KOL-01,5,Low Stock,Low Revenue
